WELL,MD,Porosity,Permeability
W1,3838.850098,0.142,
W1,3839.149902,0.104,10.632
W1,3839.399902,0.124,0.248
W1,3839.47998,0.18,
W1,3839.600098,0.157,306.81
W1,3839.850098,0.159,150.954
W1,3840.100098,0.165,707.324
W1,3840.350098,0.162,254.7
W1,3840.52002,0.186,
W1,3840.600098,0.192,7.938
W1,3840.800049,0.099,0.057
W1,3841,0.122,2.36
W1,3841.350098,0.181,350.848
W1,3841.52002,0.083,
W1,3841.600098,0.096,0.025
W1,3841.800049,0.197,141.943
W1,3842.050049,0.2,87.775
W1,3842.350098,0.216,177.067
W1,3842.540039,0.232,
W1,3842.600098,0.209,20.308
W1,3842.800049,0.191,110.692
W1,3843.050049,0.21,30.604
W1,3843.350098,0.17,23.022
W1,3843.530029,0.134,
W1,3843.600098,0.112,0.24
W1,3843.850098,0.187,5.731
W1,3844.100098,0.232,89.919
W1,3844.350098,0.244,69.456
W1,3844.51001,0.247,
W1,3844.600098,0.25,66.622
W1,3844.800049,0.237,63.391
W1,3845.050049,0.238,60.775
W1,3845.350098,0.237,42.038
W1,3845.540039,0.23,
W1,3845.600098,0.23,35.718
W1,3845.850098,0.224,33.282
W1,3846.100098,0.234,50.192
W1,3846.350098,0.228,46.217
W1,3846.530029,0.237,
W1,3846.600098,0.237,70.725
W1,3846.850098,0.236,91.815
W1,3847.100098,0.224,67.849
W1,3847.350098,0.215,61.911
W1,3847.51001,0.189,
W1,3847.600098,0.175,13.151
W1,3848.050049,0.085,0.26
W1,3848.300049,0.144,7.126
W1,3848.550049,0.162,6.25
W1,3848.72998,0.223,
W1,3848.800049,0.228,71.725
W1,3849.050049,0.232,72.911
W1,3849.300049,0.229,55.573
W1,3849.550049,0.237,81.609
W1,3849.699951,0.237,
W1,3849.800049,0.234,70.655
W1,3850.050049,0.214,26.569
W1,3850.300049,0.209,16.698
W1,3850.550049,0.228,28.421
W1,3850.699951,0.226,
W1,3850.800049,0.226,24.902
W1,3851,0.221,26.692
W1,3851.199951,0.22,24.721
W1,3851.550049,0.224,20.125
W1,3851.709961,0.221,
W1,3851.800049,0.227,18.484
W1,3852.050049,0.214,51.912
W1,3852.300049,0.21,59.867
W1,3852.550049,0.208,64.189
W1,3852.709961,0.223,
W1,3852.800049,0.238,123.596
W1,3853.25,0.169,8.913
W1,3853.550049,0.141,
W1,3853.699951,0.199,
W1,3853.800049,0.155,1.343
W1,3854,0.089,0.331
W1,3854.199951,0.039,0.004
W1,3854.399902,0.037,0.003
W1,3854.600098,0.032,0.002
W1,3854.800049,0.071,
W1,3854.899902,0.11,
W1,3855,0.188,8.798
W1,3855.25,0.201,12.844
W1,3855.5,0.084,0.045
W1,3855.75,0.031,0.002
W1,3855.860107,0.026,
W1,3856,0.033,0.002
W1,3856.199951,0.082,0.128
W1,3856.399902,0.175,8.28
W1,3856.75,0.2,16.966
W1,3856.929932,0.183,
W1,3857,0.174,5.981
W1,3857.25,0.222,114.713
W1,3857.5,0.217,135.986
W1,3857.75,0.21,38.536
W1,3857.899902,0.218,
W1,3858,0.2,51.523
W1,3858.199951,0.152,2.138
W1,3858.399902,0.179,8.647
W1,3858.75,0.142,15.806
W1,3858.909912,0.181,
W1,3859,0.194,47.193
W1,3859.25,0.183,18.149
W1,3859.5,0.173,
W1,3859.75,0.19,8.463
W1,3859.889893,0.211,
W1,3860,0.224,15913.9697
W1,3860.149902,0.217,15600.5488
W1,3861.300049,0.223,1646.28
W1,3861.699951,0.23,3370.7329
W1,3861.899902,0.222,
W1,3862,0.237,2590.708
W1,3862.199951,0.232,4442.7822
W1,3862.399902,0.23,4432.022
W1,3862.649902,0.229,3458.333
W1,3862.820068,0.233,
W1,3863,0.235,1495.905
W1,3867,0.218,4567.9712
W1,3867.149902,0.201,3454.063
W1,3868,0.173,989.278
W1,3868.25,0.211,3803.333
W1,3868.699951,0.212,5115.689
W1,3868.909912,0.222,
W1,3869,0.221,4603.4312
W1,3869.25,0.237,6813.2031
W1,3869.5,0.237,6239.0459
W1,3869.75,0.226,5994.2759
W1,3869.909912,0.237,
W1,3870,0.229,6377.3711
W1,3870.199951,0.228,5239.7041
W1,3870.399902,0.227,6055.8369
W1,3870.75,0.227,6207.2168
W1,3870.919922,0.243,
W1,3871,0.237,7990.4141
W1,3871.25,0.238,8751.5361
W1,3871.5,0.233,8074.876
W1,3871.75,0.234,8775.2266
W1,3871.879883,0.236,
W1,3872,0.246,9786.498
W1,3872.5,0.222,8682.5518
W1,3872.800049,0.234,4635.1611
W1,3873,0.224,4748.3398
W1,3873.25,0.219,2451.637
W1,3873.5,0.224,2782.2151
W1,3873.75,0.217,1717.4351
W1,3873.939941,0.214,
W1,3874,0.213,1127.639
W1,3874.199951,0.217,1938.426
W1,3874.399902,0.199,161.166
W1,3874.75,0.204,72.744
W1,3874.899902,0.213,
W1,3875,0.191,216.873
W1,3875.25,0.181,
W1,3875.5,0.146,6.457
W1,3875.75,0.123,0.514
W1,3875.939941,0.064,
W1,3876,0.08,0.064
W1,3876.25,0.053,
W1,3876.550049,0.072,0.096
W1,3876.850098,0.03,
W1,3877,0.039,0.007
W1,3877.25,0.24,46.136
W1,3877.550049,0.282,199.832
W1,3877.800049,0.272,132.072
W1,3877.909912,0.263,
W1,3878,0.241,104.931
W1,3878.199951,0.231,62.164
W1,3878.5,0.207,43.745
W1,3878.75,0.116,1.773
W1,3878.919922,0.115,
W1,3879,0.135,4.043
W1,3879.25,0.12,1.641
W1,3879.5,0.083,0.128
W1,3879.75,0.094,0.16
W1,3879.939941,0.209,
W1,3880,0.207,22.947
W1,3881.25,0.224,62.661
W1,3881.449951,,63.444
W1,3881.5,0.202,37.595
W1,3882.399902,0.202,28.189
W1,3882.52002,0.207,
W1,3882.600098,0.205,31.448
W1,3882.800049,0.202,28.227
W1,3883,0.214,37.126
W1,3883.25,0.208,38.015
W1,3883.429932,0.204,
W1,3883.5,0.209,35.641
W1,3883.800049,0.209,46.8
W1,3884.100098,0.179,30.019
W1,3884.350098,0.163,27.415
W1,3884.52002,0.17,
W1,3884.600098,0.166,25.952
W1,3884.850098,0.164,29.546
W1,3885.100098,0.178,32.465
W1,3885.350098,0.184,51.325
W1,3885.530029,0.174,
W1,3885.600098,0.184,37.408
W1,3885.850098,0.174,32.821
W1,3886.149902,0.198,183.703
W1,3886.350098,0.204,298.594
W1,3886.540039,0.202,
W1,3886.600098,0.201,197.176
W1,3886.850098,0.2,235.702
W1,3887.100098,0.203,248.214
W1,3887.350098,0.18,26.736
W1,3887.530029,0.196,
W1,3887.600098,0.198,66.382
W1,3887.850098,0.207,116.739
W1,3888.149902,0.204,118.567
W1,3888.350098,0.203,89.137
W1,3888.540039,0.205,
W1,3888.600098,0.204,110.119
W1,3888.850098,0.202,92.648
W1,3889.100098,0.199,54.697
W1,3889.350098,0.198,18.219
W1,3889.5,0.202,
W1,3889.600098,0.211,94.38
W1,3889.850098,0.197,46.424
W1,3890.149902,0.214,102.218
W1,3890.350098,0.208,75.207
W1,3890.52002,0.21,
W1,3890.600098,0.204,41.018
W1,3890.850098,0.221,116.776
W1,3891.100098,0.217,93.509
W1,3891.350098,0.193,46.424
W1,3891.600098,0.145,0.514
W1,3891.850098,0.18,5.085
W1,3892.149902,0.139,2.163
W1,3892.350098,0.199,42.478
W1,3892.51001,0.193,
W1,3892.600098,0.161,36.42
W1,3892.850098,0.211,94.279
W1,3893.100098,0.204,59.907
W1,3893.350098,0.202,96.886
W1,3893.5,0.173,
W1,3893.600098,0.147,21.744
W1,3893.800049,0.156,62.758
W1,3894.100098,0.207,67.115
W1,3894.350098,0.128,0.337
W1,3894.550049,0.178,
W1,3894.600098,0.18,3.969
W1,3894.850098,0.144,0.905
W1,3895.100098,0.221,34.196
W1,3895.350098,0.222,41.551
W1,3895.52002,0.224,
W1,3895.600098,0.225,34.918
W1,3895.850098,0.222,51.198
W1,3896.149902,0.222,47.69
W1,3896.350098,0.222,53.31
W1,3896.52002,0.179,
W1,3896.600098,0.206,17.892
W1,3896.850098,0.218,51.926
W1,3897.100098,0.214,50.32
W1,3897.350098,0.207,31.663
W1,3897.530029,0.2,
W1,3897.600098,0.206,28.922
W1,3897.850098,0.201,41.052
W1,3898.149902,0.188,29.13
W1,3898.350098,0.167,34.758
W1,3898.540039,0.165,
W1,3898.600098,0.168,22.319
W1,3898.850098,0.174,84.756
W1,3899.149902,0.166,45.14
W1,3899.600098,0.2,1022.282
W1,3899.850098,0.199,1015.532
W1,3900.149902,0.207,1004.779
W1,3900.350098,0.217,1776.619
W1,3900.600098,0.202,1055.264
W1,3900.850098,0.188,699.655
W1,3901.100098,0.195,751.658
W1,3901.350098,0.197,1865.9969
W1,3901.5,0.184,
W1,3901.600098,0.189,811.201
W1,3901.850098,0.174,274.461
W1,3902.149902,0.194,850.829
W1,3902.350098,0.199,965.917
W1,3902.530029,0.182,
W1,3902.600098,0.193,268.273
W1,3902.850098,0.187,169.699
W1,3903.100098,0.184,129.016
W1,3903.350098,0.19,149.925
W1,3903.52002,0.181,
W1,3903.600098,0.175,436.078
W1,3903.850098,0.176,132.284
W1,3904.149902,0.186,295.005
W1,3904.350098,0.185,306.632
W1,3904.530029,0.184,
W1,3904.600098,0.186,194.546
W1,3904.850098,0.192,754.944
W1,3905.100098,0.187,448.794
